Name,FirstName,LastName,Department,EmployeeNo,Email,NetworkID,manager,inactive
Ruth Gonzalez,Ruth,Gonzalez,Human Resources,1a2b3a4b,Ruth.Gonzalez@eshiam.com,Ruth.Gonzalez,1a2b3a
Brian Nelson,Brian,Nelson,Human Resources,1a2b3a4c,Brian.Nelson@eshiam.com,Brian.Nelson,1a2b3a
Sharon Carter,Sharon,Carter,Human Resources,1a2b3a4d,Sharon.Carter@eshiam.com,Sharon.Carter,1a2b3a
Ronald Mitchell,Ronald,Mitchell,Human Resources,1a2b3a4e,Ronald.Mitchell@eshiam.com,Ronald.Mitchell,1a2b3a
Elizabeth Taylor,Elizabeth,Taylor,Human Resources,1a2b3b,Elizabeth.Taylor@eshiam.com,Elizabeth.Taylor,1a2b
Michelle Perez,Michelle,Perez,Human Resources,1a2b3b4a,Michelle.Perez@eshiam.com,Michelle.Perez,1a2b3b
Anthony Roberts,Anthony,Roberts,Human Resources,1a2b3b4b,Anthony.Roberts@eshiam.com,Anthony.Roberts,1a2b3b
Laura Turner,Laura,Turner,Human Resources,1a2b3b4c,Laura.Turner@eshiam.com,Laura.Turner,1a2b
Kevin Phillips,Kevin,Phillips,Human Resources,1a2b3b4d,Kevin.Phillips@eshiam.com,Kevin.Phillips,1a2b3b
Sarah Campbell,Sarah,Campbell,Human Resources,1a2b3b4e,Sarah.Campbell@eshiam.com,Sarah.Campbell,1a2b3b
David Anderson,David,Anderson,Inventory,1a2b3c,David.Anderson@eshiam.com,David.Anderson,1a2b
Jason Parker,Jason,Parker,Inventory,1a2b3c4a,Jason.Parker@eshiam.com,Jason.Parker,1a2b3c
Kimberly Evans,Kimberly,Evans,Inventory,1a2b3c4b,Kimberly.Evans@eshiam.com,Kimberly.Evans,1a2b3c
Matthew Edwards,Matthew,Edwards,Inventory,1a2b3c4c,Matthew.Edwards@eshiam.com,Matthew.Edwards,1a2b3c
Deborah Collins,Deborah,Collins,Inventory,1a2b3c4d,Deborah.Collins@eshiam.com,Deborah.Collins,1a2b3c
Gary Stewart,Gary,Stewart,Inventory,1a2b3c4e,Gary.Stewart@eshiam.com,Gary.Stewart,1a2b3c
Jennifer Thomas,Jennifer,Thomas,Inventory,1a2b3d,Jennifer.Thomas@eshiam.com,Jennifer.Thomas,1a2b
Jessica Sanchez,Jessica,Sanchez,Inventory,1a2b3d4a,Jessica.Sanchez@eshiam.com,Jessica.Sanchez,1a2b3d
Timothy Morris,Timothy,Morris,Inventory,1a2b3d4b,Timothy.Morris@eshiam.com,Timothy.Morris,1a2b
Shirley Rogers,Shirley,Rogers,Inventory,1a2b3d4c,Shirley.Rogers@eshiam.com,Shirley.Rogers,1a2b3d
Jose Reed,Jose,Reed,Inventory,1a2b3d4d,Jose.Reed@eshiam.com,Jose.Reed,1a2b3d
Cynthia Cook,Cynthia,Cook,Inventory,1a2b3d4e,Cynthia.Cook@eshiam.com,Cynthia.Cook,1a2b3d
Patricia Jones,Patricia,Jones,Regional Operations,1a2c,Patricia.Jones@eshiam.com,Patricia.Jones,1a
Richard Jackson,Richard,Jackson,Accounting,1a2c3a,Richard.Jackson@eshiam.com,Richard.Jackson,1a2c
Larry Morgan,Larry,Morgan,Accounting,1a2c3a4a,Larry.Morgan@eshiam.com,Larry.Morgan,1a2c3a
Angela Bell,Angela,Bell,Accounting,1a2c3a4b,Angela.Bell@eshiam.com,Angela.Bell,1a2c3a
Jeffrey Murphy,Jeffrey,Murphy,Accounting,1a2c3a4c,Jeffrey.Murphy@eshiam.com,Jeffrey.Murphy,1a2c3a
Melissa Bailey,Melissa,Bailey,Accounting,1a2c3a4d,Melissa.Bailey@eshiam.com,Melissa.Bailey,1a2c3a
Frank Rivera,Frank,Rivera,Accounting,1a2c3a4e,Frank.Rivera@eshiam.com,Frank.Rivera,1a2c3a
Maria White,Maria,White,Developer,1a2c3b,Maria.White@eshiam.com,Maria.White,1a2c3b4e
Brenda Cooper,Brenda,Cooper,Accounting,1a2c3b4a,Brenda.Cooper@eshiam.com,Brenda.Cooper,1a2c3b
Scott Richardson,Scott,Richardson,Accounting,1a2c3b4b,Scott.Richardson@eshiam.com,Scott.Richardson,1a2c3b
Amy Cox,Amy,Cox,Accounting,1a2c3b4c,Amy.Cox@eshiam.com,Amy.Cox,1a2c3b
Eric Howard,Eric,Howard,Accounting,1a2c3b4d,Eric.Howard@eshiam.com,Eric.Howard,1a2c3b
Anna Ward,Anna,Ward,Accounting,1a2c3b4e,Anna.Ward@eshiam.com,Anna.Ward,1a2c3a4e
Charles Harris,Charles,Harris,Finance,1a2c3c,Charles.Harris@eshiam.com,Charles.Harris,1a2c
Stephen Torres,Stephen,Torres,Finance,1a2c3c4a,Stephen.Torres@eshiam.com,Stephen.Torres,1a2c3c
Rebecca Peterson,Rebecca,Peterson,Finance,1a2c3c4b,Rebecca.Peterson@eshiam.com,Rebecca.Peterson,1a2c3c
Andrew Gray,Andrew,Gray,Finance,1a2c3c4c,Andrew.Gray@eshiam.com,Andrew.Gray,1a2c3c
Virginia Ramirez,Virginia,Ramirez,Finance,1a2c3c4d,Virginia.Ramirez@eshiam.com,Virginia.Ramirez,1a2c3c
Raymond James,Raymond,James,Finance,1a2c3c4e,Raymond.James@eshiam.com,Raymond.James,1a2c3c
Susan Martin,Susan,Martin,Finance,1a2c3d,Susan.Martin@eshiam.com,Susan.Martin,1a2c
Kathleen Watson,Kathleen,Watson,Finance,1a2c3d4a,Kathleen.Watson@eshiam.com,Kathleen.Watson,1a2c3d
Gregory Brooks,Gregory,Brooks,Finance,1a2c3d4b,Gregory.Brooks@eshiam.com,Gregory.Brooks,1a2c3d
Pamela Kelly,Pamela,Kelly,Finance,1a2c3d4c,Pamela.Kelly@eshiam.com,Pamela.Kelly,1a2c3d
Joshua Sanders,Joshua,Sanders,Finance,1a2c3d4d,Joshua.Sanders@eshiam.com,Joshua.Sanders,1a2c3d
Martha Price,Martha,Price,Finance,1a2c3d4e,Martha.Price@eshiam.com,Martha.Price,1a2c3d
Jerry Bennett,Jerry,Bennett,Executive Management,1b,Jerry.Bennett@eshiam.com,Jerry.Bennett,
Debra Wood,Debra,Wood,Regional Operations,1b2a,Debra.Wood@eshiam.com,Debra.Wood,1b
Walter Henderson,Walter,Henderson,Information Technology,1b2a3a,Walter.Henderson@eshiam.com,Walter.Henderson,1b2a
Carl Foster,Carl,Foster,Information Technology,1b2a3a4a,Carl.Foster@eshiam.com,Carl.Foster,1b2a3a
Frances Gonzales,Frances,Gonzales,Information Technology,1b2a3a4b,Frances.Gonzales@eshiam.com,Frances.Gonzales,1b2a3a
Arthur Bryant,Arthur,Bryant,Information Technology,1b2a3a4c,Arthur.Bryant@eshiam.com,Arthur.Bryant,1b2a3a
Ann Alexander,Ann,Alexander,Information Technology,1b2a3a4d,Ann.Alexander@eshiam.com,Ann.Alexander,1b2a3a
Ryan Russell,Ryan,Russell,Information Technology,1b2a3a4e,Ryan.Russell@eshiam.com,Ryan.Russell,1b2a3a
Stephanie Coleman,Stephanie,Coleman,Information Technology,1b2a3b,Stephanie.Coleman@eshiam.com,Stephanie.Coleman,1b2a
Joyce Griffin,Joyce,Griffin,Information Technology,1b2a3b4a,Joyce.Griffin@eshiam.com,Joyce.Griffin,1b2a3b
Roger Diaz,Roger,Diaz,Information Technology,1b2a3b4b,Roger.Diaz@eshiam.com,Roger.Diaz,1b2a3b
Diane Hayes,Diane,Hayes,Information Technology,1b2a3b4c,Diane.Hayes@eshiam.com,Diane.Hayes,1b2a3b
Joe Myers,Joe,Myers,Information Technology,1b2a3b4d,Joe.Myers@eshiam.com,Joe.Myers,1b2a3b
Alice Ford,Alice,Ford,Information Technology,1b2a3b4e,Alice.Ford@eshiam.com,Alice.Ford,1b2a3b
Patrick Jenkins,Patrick,Jenkins,Engineering,1b2a3c,Patrick.Jenkins@eshiam.com,Patrick.Jenkins,1b2a
Juan Hamilton,Juan,Hamilton,Engineering,1b2a3c4a,Juan.Hamilton@eshiam.com,Juan.Hamilton,1b2a3c
Julie Graham,Julie,Graham,Engineering,1b2a3c4b,Julie.Graham@eshiam.com,Julie.Graham,1b2a3c
Jack Sullivan,Jack,Sullivan,Engineering,1b2a3c4c,Jack.Sullivan@eshiam.com,Jack.Sullivan,1b2a3c
Heather Wallace,Heather,Wallace,Engineering,1b2a3c4d,Heather.Wallace@eshiam.com,Heather.Wallace,1b2a3c
Albert Woods,Albert,Woods,Engineering,1b2a3c4e,Albert.Woods@eshiam.com,Albert.Woods,1b2a3c
Carolyn Perry,Carolyn,Perry,Engineering,1b2a3d,Carolyn.Perry@eshiam.com,Carolyn.Perry,1b2a
Teresa Cole,Teresa,Cole,Engineering,1b2a3d4a,Teresa.Cole@eshiam.com,Teresa.Cole,1b2a3d
Jonathan West,Jonathan,West,Engineering,1b2a3d4b,Jonathan.West@eshiam.com,Jonathan.West,1b2a3d
Doris Jordan,Doris,Jordan,Engineering,1b2a3d4c,Doris.Jordan@eshiam.com,Doris.Jordan,1b2a3d
Justin Owens,Justin,Owens,Engineering,1b2a3d4d,Justin.Owens@eshiam.com,Justin.Owens,1b2a3d
Gloria Reynolds,Gloria,Reynolds,Engineering,1b2a3d4e,Gloria.Reynolds@eshiam.com,Gloria.Reynolds,1b2a3d
Dennis Barnes,Dennis,Barnes,Regional Operations,1b2b,Dennis.Barnes@eshiam.com,Dennis.Barnes,1b
Peter Powell,Peter,Powell,Human Resources,1b2b3a,Peter.Powell@eshiam.com,Peter.Powell,1b2b
Terry Fisher,Terry,Fisher,Human Resources,1b2b3a4a,Terry.Fisher@eshiam.com,Terry.Fisher,1b2b3a
Evelyn Ellis,Evelyn,Ellis,Human Resources,1b2b3a4b,Evelyn.Ellis@eshiam.com,Evelyn.Ellis,1b2b3a
Gerald Harrison,Gerald,Harrison,Human Resources,1b2b3a4c,Gerald.Harrison@eshiam.com,Gerald.Harrison,1b2b3a
Jean Gibson,Jean,Gibson,Human Resources,1b2b3a4d,Jean.Gibson@eshiam.com,Jean.Gibson,1b2b3a
Keith Mcdonald,Keith,Mcdonald,Human Resources,1b2b3a4e,Keith.Mcdonald@eshiam.com,Keith.Mcdonald,1b2b3a
Christine Long,Christine,Long,Human Resources,1b2b3b,Christine.Long@eshiam.com,Christine.Long,1b2b
Cheryl Cruz,Cheryl,Cruz,Human Resources,1b2b3b4a,Cheryl.Cruz@eshiam.com,Cheryl.Cruz,1b2b3b
Samuel Marshall,Samuel,Marshall,Human Resources,1b2b3b4b,Samuel.Marshall@eshiam.com,Samuel.Marshall,1b2b3b
Mildred Ortiz,Mildred,Ortiz,Human Resources,1b2b3b4c,Mildred.Ortiz@eshiam.com,Mildred.Ortiz,1b2b3b
Willie Gomez,Willie,Gomez,Human Resources,1b2b3b4d,Willie.Gomez@eshiam.com,Willie.Gomez,1b2b3b
Katherine Murray,Katherine,Murray,Human Resources,1b2b3b4e,Katherine.Murray@eshiam.com,Katherine.Murray,1b2b3b
Harold Patterson,Harold,Patterson,Inventory,1b2b3c,Harold.Patterson@eshiam.com,Harold.Patterson,1b2b
Ralph Freeman,Ralph,Freeman,Inventory,1b2b3c4a,Ralph.Freeman@eshiam.com,Ralph.Freeman,1b2b3c
Joan Wells,Joan,Wells,Inventory,1b2b3c4b,Joan.Wells@eshiam.com,Joan.Wells,1b2b3c
Lawrence Webb,Lawrencebishnoi,Webb,Inventory,1b2b3c4c,Lawrence.Webb@eshiam.com,Lawrence.Webb,1b2b3c
Ashley Simpson,Ashley,Simpson,Inventory,1b2b3c4d,Ashley.Simpson@eshiam.com,Ashley.Simpson,1b2b3c
Nicholas Stevens,Nicholas,Stevens,Inventory,1b2b3c4e,Nicholas.Stevens@eshiam.com,Nicholas.Stevens,1b2b3c
Marie Hughes,Marie,Hughes,Inventory,1b2b3d,Marie.Hughes@eshiam.com,Marie.Hughes,1b2b
Judith Tucker,Judith,Tucker,Inventory,1b2b3d4a,Judith.Tucker@eshiam.com,Judith.Tucker,1b2b3d
Roy Porter,Roy,Porter,Inventory,1b2b3d4b,Roy.Porter@eshiam.com,Roy.Porter,1b2b3d
Rose Hunter,Rose,Hunter,Inventory,1b2b3d4c,Rose.Hunter@eshiam.com,Rose.Hunter,1b2b3d
Benjamin nethanyahu,Benjamin,Hicks,Inventory,1b2b3d4d,Benjamin.Hicks@eshiam.com,Benjamin.Hicks,1b2b3d
Janice Crawford,Janice,Crawford,Inventory,1b2b3d4e,Janice.Crawford@eshiam.com,Janice.Crawford,1b2b3d
Amanda Ross,Amanda,Ross,Regional Operations,1b2c,Amanda.Ross@eshiam.com,Amanda.Ross,1b
Douglas Flores,Douglas,Flores,Accounting,1b2c3a,Douglas.Flores@eshiam.com,Douglas.Flores,1b2c
Bruce Henry,Bruce,Henry,Accounting,1b2c3a4a,Bruce.Henry@eshiam.com,Bruce.Henry,1b2c3a
Kelly Boyd,Kelly,Boyd,Accounting,1b2c3a4b,Kelly.Boyd@eshiam.com,Kelly.Boyd,1b2c
Brandon Mason,Brandon,Mason,Accounting,1b2c3a4c,Brandon.Mason@eshiam.com,Brandon.Mason,1b2c3a
Nicole Morales,Nicole,Morales,Accounting,1b2c3a4d,Nicole.Morales@eshiam.com,Nicole.Morales,1b2c3a
Adam Kennedy,Adam,Kennedynew,Accounting,1b2c3a4e,Adam.Kennedy@eshiam.com,Adam.Kennedy,1b2c3a
Janet Washington,Janet,Washington,Accounting,1b2c3b,Janet.Washington@eshiam.com,Janet.Washington,1b2c
Judy Warren,Judy,Warren,Accounting,1b2c3b4a,Judy.Warren@eshiam.com,Judy.Warren,1b2c3b
Harry Dixon,Harry,Dixon,Accounting,1b2c3b4b,Harry.Dixon@eshiam.com,Harry.Dixon,1b2c3b
Christina Ramos,Christina,Ramos,Accounting,1b2c3b4c,Christina.Ramos@eshiam.com,Christina.Ramos,1b2c3b
Fred Reyes,Fred,Reyes,Accounting,1b2c3b4d,Fred.Reyes@eshiam.com,Fred.Reyes,1b2c3b
Kathy Burns,Kathy,Burns,Accounting,1b2c3b4e,Kathy.Burns@eshiam.com,Kathy.Burns,1b2c3b
Henry Butler,Henry,Butler,Finance,1b2c3c,Henry.Butler@eshiam.com,Henry.Butler,1b2c
Wayne Gordon,Wayne,Gordon,Finance,1b2c3c4a,Wayne.Gordon@eshiam.com,Wayne.Gordon,1b2c3c
Theresa Shaw,Theresa,Shaw,Finance,1b2c3c4b,Theresa.Shaw@eshiam.com,Theresa.Shaw,1b2c3c
Billy Holmes,Billy,Holmes,Finance,1b2c3c4c,Billy.Holmes@eshiam.com,Billy.Holmes,1b2c3c
Beverly Rice,Beverly,Rice,Finance,1b2c3c4d,Beverly.Rice@eshiam.com,Beverly.Rice,1b2c3c
Steve Robertson,Steve,Robertson,Finance,1b2c3c4e,Steve.Robertson@eshiam.com,Steve.Robertson,1b2c3c
Catherine Simmons,Catherine,Simmons,Finance,1b2c3d,Catherine.Simmons@eshiam.com,Catherine.Simmons,1b2c
Denise Hunt,Denise,Hunt,Finance,1b2c3d4a,Denise.Hunt@eshiam.com,Denise.Hunt,1b2c3d
Louis Black,Louis,Black,Finance,1b2c3d4b,Louis.Black@eshiam.com,Louis.Black,1b2c3d
Tammy Daniels,Tammy,Daniels,Finance,1b2c3d4c,Tammy.Daniels@eshiam.com,Tammy.Daniels,1b2c3d
Jeremy Palmer,Jeremy,Palmer,Finance,1b2c3d4d,Jeremy.Palmer@eshiam.com,Jeremy.Palmer,1b2c3d
Irene Mills,Irene,Mills,Finance,1b2c3d4e,Irene.Mills@eshiam.com,Irene.Mills,1b2c3d
Aaron Nichols,Aaron,Nichols,Executive Management,1c,Aaron.Nichols@eshiam.com,Aaron.Nichols,
Jane Grant,Jane,Grant,Regional Operations,1c2a,Jane.Grant@eshiam.com,Jane.Grant,1c
Howard Rose,Howard,Rose,Information Technology,1c2a3a,Howard.Rose@eshiam.com,Howard.Rose,1c2a
Martin Matthews,Martin,Matthews,Information Technology,1c2a3a4a,Martin.Matthews@eshiam.com,Martin.Matthews,1c2a3a
Anne Arnold,Anne,Arnoldnew,Information Technology,1c2a3a4b,Anne.Arnold@eshiam.com,Anne.Arnold,1c2a3a
Ernest Wagner,Ernest,Wagner,Information Technology,1c2a3a4c,Ernest.Wagner@eshiam.com,Ernest.Wagner,1c2a3a
Jacqueline Willis,Jacqueline,Willis,Information Technology,1c2a3a4d,Jacqueline.Willis@eshiam.com,Jacqueline.Willis,1c2a3a
Phillip Ray,Phillip,Ray,Information Technology,1c2a3a4e,Phillip.Ray@eshiam.com,Phillip.Ray,1c2a3a
Rachel Stone,Rachel,Stone,Information Technology,1c2a3b,Rachel.Stone@eshiam.com,Rachel.Stone,1c2a
Wanda Watkins,Wanda,Watkins,Information Technology,1c2a3b4a,Wanda.Watkins@eshiam.com,Wanda.Watkins,1c2a3b
Todd Olson,Todd,Olson,Information Technology,1c2a3b4b,Todd.Olson@eshiam.com,Todd.Olson,1c2a3b
Bonnie Carroll,Bonnie,Carroll,Information Technology,1c2a3b4c,Bonnie.Carroll@eshiam.com,Bonnie.Carroll,1c2a3b
Jesse Duncan,Jesse,Duncan,Information Technology,1c2a3b4d,Jesse.Duncan@eshiam.com,Jesse.Duncan,1c2a3b
Julia Snyder,Julia,Snyder,Information Technology,1c2a3b4e,Julia.Snyder@eshiam.com,Julia.Snyder,1c2a3b
Eugene Hawkins,Eugene,Hawkins,Engineering,1c2a3c,Eugene.Hawkins@eshiam.com,Eugene.Hawkins,1c2a
Craig Hart,Craig,Hart,Engineering,1c2a3c4a,Craig.Hart@eshiam.com,Craig.Hart,1c2a3c
Ruby Cunningham,Ruby,Cunningham,Engineering,1c2a3c4b,Ruby.Cunningham@eshiam.com,Ruby.Cunningham,1c2a3c
Alan Bradley,Alan,Bradley,Engineering,1c2a3c4c,Alan.Bradley@eshiam.com,Alan.Bradley,1c2a3c
Lois Lane,Lois,Lane,Engineering,1c2a3c4d,Lois.Lane@eshiam.com,Lois.Lane,1c2a3c
Shawn Andrews,Shawn,Andrews,Engineering,1c2a3c4e,Shawn.Andrews@eshiam.com,Shawn.Andrews,1c2a3c
Marilyn Dunn,Marilyn,Dunn,Engineering,1c2a3d,Marilyn.Dunn@eshiam.com,Marilyn.Dunn,1c2a
Tina Ruiz,Tina,Ruiz,Engineering,1c2a3d4a,Tina.Ruiz@eshiam.com,Tina.Ruiz,1c2a3d
Clarence Harper,Clarence,Harper,Engineering,1c2a3d4b,Clarence.Harper@eshiam.com,Clarence.Harper,1c2a3d
Phyllis Fox,Phyllis,Fox,Engineering,1c2a3d4c,Phyllis.Fox@eshiam.com,Phyllis.Fox,1c2a3d
Sean Riley,Sean,Riley,Engineering,1c2a3d4d,Sean.Riley@eshiam.com,Sean.Riley,1c2a3d
Norma Armstrong,Norma,Armstrong,Engineering,1c2a3d4e,Norma.Armstrong@eshiam.com,Norma.Armstrong,1c2a3d
Randy Knight,Randy,Knight,Regional Operations,1c2b,Randy.Knight@eshiam.com,Randy.Knight,1c
Carlos Perkins,Carlos,Perkins,Human Resources,1c2b3a,Carlos.Perkins@eshiam.com,Carlos.Perkins,1c2b
Philip Carpenter,Philip,Carpenter,Human Resources,1c2b3a4a,Philip.Carpenter@eshiam.com,Philip.Carpenter,1c2b3a
Paula Weaver,Paula,Weaver,Human Resources,1c2b3a4b,Paula.Weaver@eshiam.com,Paula.Weaver,1c2b3a
Chris Greene,Chris,Greene,Human Resources,1c2b3a4c,Chris.Greene@eshiam.com,Chris.Greene,1c2b3a
Diana Lawrence,Diana,Lawrence,Human Resources,1c2b3a4d,Diana.Lawrence@eshiam.com,Diana.Lawrence,1c2b3a
Johnny Elliott,Johnny,Elliott,Human Resources,1c2b3a4e,Johnny.Elliott@eshiam.com,Johnny.Elliott,1c2b3a
Andrea Hudson,Andrea,Hudson,Human Resources,1c2b3b,Andrea.Hudson@eshiam.com,Andrea.Hudson,1c2b
Annie Chavez,Annie,Chavez,Human Resources,1c2b3b4a,Annie.Chavez@eshiam.com,Annie.Chavez,1c2b3b
Earl Sims,Earl,Sims,Human Resources,1c2b3b4b,Earl.Sims@eshiam.com,Earl.Sims,1c2b3b
Lillian Austin,Lillian,Austin,Human Resources,1c2b3b4c,Lillian.Austin@eshiam.com,Lillian.Austin,1c2b3b
Jimmy Peters,Jimmy,Peters,Human Resources,1c2b3b4d,Jimmy.Peters@eshiam.com,Jimmy.Peters,1c2b3b
Emily Kelley,Emily,Kelley,Human Resources,1c2b3b4e,Emily.Kelley@eshiam.com,Emily.Kelley,1c2b3b
Russell Spencer,Russell,Spencer,Inventory,1c2b3c,Russell.Spencer@eshiam.com,Russell.Spencer,1c2b
Antonio Franklin,Antonio,Franklin,Inventory,1c2b3c4a,Antonio.Franklin@eshiam.com,Antonio.Franklin,1c2b3c
Robin Lawson,Robin,Lawson,Inventory,1c2b3c4b,Robin.Lawson@eshiam.com,Robin.Lawson,1c2b3c
Danny Fields,Danny,Fields,Inventory,1c2b3c4c,Danny.Fields@eshiam.com,Danny.Fields,1c2b3c
Peggy Gutierrez,Peggy,Gutierrez,Inventory,1c2b3c4d,Peggy.Gutierrez@eshiam.com,Peggy.Gutierrez,1c2b3c
Bryan Ryan,Bryan,Ryan,Inventory,1c2b3c4e,Bryan.Ryan@eshiam.com,Bryan.Ryan,1c2b3c
Kathryn Gardner,Kathryn,Gardner,Inventory,1c2b3d,Kathryn.Gardner@eshiam.com,Kathryn.Gardner,1c2b
Crystal Schmidt,Crystal,Schmidt,Inventory,1c2b3d4a,Crystal.Schmidt@eshiam.com,Crystal.Schmidt,1c2b3d
Tony Carr,Tony,Carr,Inventory,1c2b3d4b,Tony.Carr@eshiam.com,Tony.Carr,1c2b3d
Gladys Vasquez,Gladys,Vasquez,Inventory,1c2b3d4c,Gladys.Vasquez@eshiam.com,Gladys.Vasquez,1c2b3d
Luis Castillo,Luis,Castillo,Inventory,1c2b3d4d,Luis.Castillo@eshiam.com,Luis.Castillo,1c2b3d
Rita Wheeler,Rita,Wheeler,Inventory,1c2b3d4e,Rita.Wheeler@eshiam.com,Rita.Wheeler,1c2b3d
Lori Ferguson,Lori,Ferguson,Regional Operations,1c2c,Lori.Ferguson@eshiam.com,Lori.Ferguson,1c
Bobby Stephens,Bobby,Stephens,Accounting,1c2c3a,Bobby.Stephens@eshiam.com,Bobby.Stephens,1c2c
Mike Chapman,Mike,Chapman,Accounting,1c2c3a4a,Mike.Chapman@eshiam.com,Mike.Chapman,1c2c3a
Dawn Oliver,Dawn,Oliver,Accounting,1c2c3a4b,Dawn.Oliver@eshiam.com,Dawn.Oliver,1c2c3a
Stanley Montgomery,Stanley,Montgomery,Accounting,1c2c3a4c,Stanley.Montgomery@eshiam.com,Stanley.Montgomery,1c2c3a
Connie Richards,Connie,Richards,Accounting,1c2c3a4d,Connie.Richards@eshiam.com,Connie.Richards,1c2c3a
Leonard Williamson,Leonard,Williamson,Accounting,1c2c3a4e,Leonard.Williamson@eshiam.com,Leonard.Williamson,1c2c3a
Louise Payne,Louise,Payne,Accounting,1c2c3b,Louise.Payne@eshiam.com,Louise.Payne,1c2c
Florence Johnston,Florence,Johnston,Accounting,1c2c3b4a,Florence.Johnston@eshiam.com,Florence.Johnston,1c2c3b
Nathan Banks,Nathan,Banks,Accounting,1c2c3b4b,Nathan.Banks@eshiam.com,Nathan.Banks,1c2c3b
Tracy Meyer,Tracy,Meyer,Accounting,1c2c3b4c,Tracy.Meyer@eshiam.com,Tracy.Meyer,1c2c3b
Dale Bishop,Dale,Bishop,Accounting,1c2c3b4d,Dale.Bishop@eshiam.com,Dale.Bishop,1c2c3b
Edna Mccoy,Edna,Mccoy,Accounting,1c2c3b4e,Edna.Mccoy@eshiam.com,Edna.Mccoy,1c2c3b
Victor Pierce,Victor,Pierce,Finance,1c2c3c,Victor.Pierce@eshiam.com,Victor.Pierce,1c2c
Manuel  l,Manuel,Howell,Finance,1c2c3c4a,Manuel.Howell@eshiam.com,Manuel.Howell,1c2c3c
Tiffany Alvarez,Tiffany,Alvarez,Finance,1c2c3c4b,Tiffany.Alvarez@eshiam.com,Tiffany.Alvarez,1c2c3c
Rodney Morrison,Rodney,Morrison,Finance,1c2c3c4c,Rodney.Morrison@eshiam.com,Rodney.Morrison,1c2c3c
